event_id,race_name,gate,engine_lane,driver_number,driver_name,team_name,grid_position,predicted_position,predicted_rank_score_low_better,win_probability,podium_probability,top10_probability,dnf_probability,confidence_score,source_readiness_score,reliability_eol_score,performance_degradation_score,track_position_score,forecast_generation_utc,forecast_status,forecast_basis,stable_output_overwrite_allowed,promotion_eligible_from_this_row,blind_validation_note
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,1,L NORRIS,McLaren,6,1,2.20433,0.2604,0.4464,0.6076,0.063,0.62,1.0,0.063,0.335,0.7619,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,3,M VERSTAPPEN,Red Bull Racing,5,2,2.837289,0.2175,0.40124,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.8095,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,6,I HADJAR,Red Bull Racing,8,3,3.490289,0.18167,0.36064,0.6076,0.0654,0.62,1.0,0.0654,0.3515,0.6667,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,12,K ANTONELLI,Mercedes,4,4,4.189942,0.15175,0.32415,0.60369,0.0662,0.62,1.0,0.0662,0.357,0.8571,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,16,C LECLERC,Ferrari,2,5,4.306636,0.12675,0.29136,0.59211,0.0646,0.62,1.0,0.0646,0.346,0.9524,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,36,A IWASA,Red Bull Racing,,6,6.370289,0.10587,0.26188,0.57297,0.0654,0.62,1.0,0.0654,0.3515,0.2381,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,38,D BEGANOVIC,Ferrari,,7,6.478636,0.08843,0.23538,0.5424,0.0646,0.62,1.0,0.0646,0.346,0.1905,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,5,G BORTOLETO,Audi,12,8,6.73294,0.07386,0.21157,0.49626,0.079,0.62,1.0,0.079,0.478,0.4762,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,44,L HAMILTON,Ferrari,3,9,7.384636,0.0617,0.19016,0.43218,0.0646,0.62,1.0,0.0646,0.346,0.9048,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,14,F ALONSO,Aston Martin,21,10,7.59039,0.05153,0.17092,0.35278,0.079,0.62,1.0,0.079,0.445,0.0476,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,11,S PEREZ,Cadillac,19,11,7.83894,0.04304,0.15363,0.26722,0.079,0.62,1.0,0.079,0.478,0.1429,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,18,L STROLL,Aston Martin,22,12,8.14439,0.03595,0.13809,0.18782,0.079,0.62,1.0,0.079,0.445,0.0,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,67,L FORNAROLI,McLaren,,13,8.22033,0.03003,0.12412,0.12374,0.063,0.62,1.0,0.063,0.335,-0.1905,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,10,P GASLY,Alpine,11,14,8.347532,0.02508,0.11156,0.0776,0.0902,0.62,1.0,0.0902,0.522,0.5238,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,25,C HERTA,Cadillac,,15,8.40294,0.02095,0.10027,0.04703,0.079,0.62,1.0,0.079,0.478,0.4762,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,34,J CRAWFORD,Aston Martin,,16,8.56039,0.0175,0.09013,0.02789,0.079,0.62,1.0,0.079,0.445,0.2857,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,63,G RUSSELL,Mercedes,1,17,8.590942,0.01462,0.08101,0.0186,0.0662,0.62,1.0,0.0662,0.357,1.0,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
2026_1292_netherlands_zandvoort_zandvoort,Netherlands - Zandvoort - Zandvoort,pre_weekend,experimental_challenger,23,A ALBON,Williams,18,18,8.774002,0.01221,0.07281,0.0186,0.0822,0.62,1.0,0.0822,0.467,0.1905,2026-08-21T08:15:30Z,actual_forecast_row_generated_from_available_sources,source_closure_plus_engine_lane_policy,false,false,Eligible only if locked before outcome by Forecast Bundle Locker.
